You entered a buffer length of 20
0.327493, -0.237796, 1.097165; 0.318935, -0.229164, 1.097382; 0.000000, 0.327493; -0.237796, 0.000000; 0.000000, 1.103417
0.339788, -0.244011, 1.090912; 0.329361, -0.236587, 1.094147; 0.000000, 0.339788; -0.244011, 0.000000; 0.000000, 1.103417
0.352084, -0.262654, 1.078407; 0.340723, -0.249621, 1.086276; 0.000000, 0.352084; -0.262654, 0.000000; 0.000000, 1.103417
0.358232, -0.268869, 1.072154; 0.349477, -0.259245, 1.079215; 0.000000, 0.358232; -0.268869, 0.000000; 0.000000, 1.103417
0.370528, -0.275083, 1.072154; 0.360002, -0.267164, 1.075684; 0.000000, 0.370528; -0.275083, 0.000000; 0.000000, 1.103417
0.376675, -0.275083, 1.065902; 0.368339, -0.271123, 1.070792; 0.000000, 0.376675; -0.275083, 0.000000; 0.000000, 1.103417
0.382823, -0.275083, 1.053397; 0.375581, -0.273103, 1.062094; 0.000000, 0.382823; -0.275083, 0.000000; 0.000000, 1.103417
0.388971, -0.275083, 1.047144; 0.382276, -0.274093, 1.054619; 0.000000, 0.388971; -0.275083, 0.000000; 0.000000, 1.103417
0.388971, -0.275083, 1.040892; 0.385623, -0.274588, 1.047755; 0.000000, 0.388971; -0.275083, 0.000000; 0.000000, 1.103417
0.401266, -0.275083, 1.028387; 0.393445, -0.274836, 1.038070; 0.000000, 0.401266; -0.275083, 0.000000; 0.000000, 1.103417
0.401266, -0.275083, 1.015882; 0.397355, -0.274959, 1.026975; 0.000000, 0.401266; -0.275083, 0.000000; 0.000000, 1.103417
0.413562, -0.275083, 1.009629; 0.405459, -0.275021, 1.018302; 0.000000, 0.413562; -0.275083, 0.000000; 0.000000, 1.103417
0.413562, -0.275083, 0.997124; 0.409510, -0.275052, 1.007712; 0.000000, 0.413562; -0.275083, 0.000000; 0.000000, 1.103417
0.413562, -0.281298, 0.978366; 0.411536, -0.278175, 0.993039; 0.000000, 0.413562; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.281298, 0.965861; 0.412549, -0.279736, 0.979449; 0.000000, 0.413562; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.281298, 0.953356; 0.413055, -0.280517, 0.966402; 0.000000, 0.413562; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.281298, 0.934599; 0.416382, -0.280907, 0.950500; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.275083, 0.915841; 0.414972, -0.277995, 0.933170; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.275083, 0.915841; 0.414267, -0.276539, 0.924505; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.275083, 0.897083; 0.416988, -0.275811, 0.910794; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.268869, 0.890831; 0.418349, -0.272340, 0.900812; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.275083, 0.878326; 0.419029, -0.273711, 0.889568; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.275083, 0.872073; 0.419369, -0.274397, 0.880820; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.275083, 0.872073; 0.419539, -0.274740, 0.876446; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.268869, 0.872073; 0.419624, -0.271804, 0.874259; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.268869, 0.865821; 0.419667, -0.270336, 0.870039; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.268869, 0.859568; 0.416614, -0.269602, 0.864803; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.256440, 0.853315; 0.415088, -0.263021, 0.859059; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.407414, -0.250225, 0.853315; 0.411251, -0.256623, 0.856187; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.407414, -0.244011, 0.847063; 0.409332, -0.250317, 0.851624; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.401266, -0.237796, 0.859568; 0.405299, -0.244056, 0.855596; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.401266, -0.244011, 0.859568; 0.403283, -0.244033, 0.857581; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.395119, -0.244011, 0.872073; 0.399200, -0.244022, 0.864827; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.388971, -0.244011, 0.878326; 0.394085, -0.244016, 0.871576; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
