You entered a buffer length of 20
0.063138, 0.147500, 1.097165; 0.031569, 0.073750, 0.548582; 0.000000, 0.063138; 0.000000, 0.147500; 0.000000, 1.097165
0.007808, 0.041854, 0.972114; 0.012784, 0.058141, 0.989664; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.013955, 0.035640, 0.959609; 0.013370, 0.046891, 0.974636; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.020103, 0.035640, 0.959609; 0.016736, 0.041265, 0.967122; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.020103, 0.041854, 0.959609; 0.018420, 0.041560, 0.963365; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.013955, 0.035640, 0.972114; 0.016188, 0.038600, 0.967739; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.001660, 0.035640, 0.978366; 0.008924, 0.037120, 0.973052; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
-0.010636, 0.029426, 0.990871; -0.000856, 0.033273, 0.981961; -0.010636, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
-0.041375, 0.016997, 1.009629; -0.021115, 0.025135, 0.995794; -0.041375, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
-0.072114, 0.004568, 1.028387; -0.046615, 0.014851, 1.012090; -0.072114, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
-0.078261, -0.007861, 1.034639; -0.062438, 0.003495, 1.023364; -0.078261, 0.106172; -0.007861, 0.197216; 0.000000, 1.222215
-0.065966, -0.014076, 1.034639; -0.064202, -0.005291, 1.029001; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.047522, -0.014076, 1.034639; -0.055862, -0.009683, 1.031820; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.035227, -0.001647, 1.028387; -0.045545, -0.005665, 1.030103; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.022931, 0.004568, 1.015882; -0.034238, -0.000549, 1.022992; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.016784, 0.023211, 1.009629; -0.025511, 0.011331, 1.016310; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.022931, 0.035640, 0.997124; -0.024221, 0.023485, 1.006716; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.029079, 0.048069, 0.997124; -0.026650, 0.035777, 1.001920; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.035227, 0.054283, 0.990871; -0.030938, 0.045030, 0.996395; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.047522, 0.060498, 0.984619; -0.039230, 0.052764, 0.990506; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.053670, 0.066712, 0.997124; -0.046450, 0.059738, 0.993815; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.059818, 0.066712, 1.003376; -0.053134, 0.063225, 0.998595; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.053670, 0.072927, 1.015882; -0.053402, 0.068076, 1.007238; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.047522, 0.079141, 1.028387; -0.050462, 0.073609, 1.017812; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.041375, 0.091570, 1.053397; -0.045919, 0.082589, 1.035604; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
-0.053670, 0.103999, 1.078407; -0.049794, 0.093294, 1.057005; -0.078261, 0.106172; -0.014076, 0.197216; 0.000000, 1.222215
