You entered a buffer length of 100
0.339788, -0.157008, 0.490668; 0.169894, -0.078504, 0.245334; 0.000000, 0.339788; -0.157008, 0.000000; 0.000000, 0.490668
-0.477868, -0.113507, 0.428143; -0.422557, -0.093236, 0.352100; -0.477868, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.539346, -0.125936, 0.521931; -0.480951, -0.109586, 0.437016; -0.539346, 0.413562; -0.157008, 0.290433; -1.028699, 0.521931
-0.588528, -0.132151, 0.628224; -0.534740, -0.120868, 0.532620; -0.588528, 0.413562; -0.157008, 0.290433; -1.028699, 0.628224
-0.631563, -0.169437, 0.728265; -0.583151, -0.145153, 0.630442; -0.631563, 0.413562; -0.169437, 0.290433; -1.028699, 0.728265
-0.680745, -0.206724, 0.840810; -0.631948, -0.175938, 0.735626; -0.680745, 0.413562; -0.206724, 0.290433; -1.028699, 0.840810
-0.711484, -0.256440, 0.953356; -0.671716, -0.216189, 0.844491; -0.711484, 0.413562; -0.256440, 0.290433; -1.028699, 0.953356
-0.748371, -0.318584, 1.059649; -0.710044, -0.267387, 0.952070; -0.748371, 0.413562; -0.318584, 0.290433; -1.028699, 1.059649
-0.772962, -0.362086, 1.184700; -0.741503, -0.314736, 1.068385; -0.772962, 0.413562; -0.362086, 0.290433; -1.028699, 1.184700
-0.785258, -0.399372, 1.316004; -0.763380, -0.357054, 1.192194; -0.785258, 0.413562; -0.399372, 0.290433; -1.028699, 1.316004
-0.797553, -0.418016, 1.453559; -0.780467, -0.387535, 1.322877; -0.797553, 0.413562; -0.418016, 0.290433; -1.028699, 1.453559
-0.815997, -0.424230, 1.584863; -0.798232, -0.405883, 1.453870; -0.815997, 0.413562; -0.424230, 0.290433; -1.028699, 1.584863
-0.822144, -0.424230, 1.728671; -0.810188, -0.415056, 1.591270; -0.822144, 0.413562; -0.424230, 0.290433; -1.028699, 1.728671
-0.822144, -0.424230, 1.866227; -0.816166, -0.419643, 1.728749; -0.822144, 0.413562; -0.424230, 0.290433; -1.028699, 1.866227
-0.822144, -0.418016, 1.997530; -0.819155, -0.418830, 1.863140; -0.822144, 0.413562; -0.424230, 0.290433; -1.028699, 1.997530
-0.822144, -0.418016, 2.147591; -0.820650, -0.418423, 2.005365; -0.822144, 0.413562; -0.424230, 0.290433; -1.028699, 2.147591
-0.822144, -0.430445, 2.291400; -0.821397, -0.424434, 2.148383; -0.822144, 0.413562; -0.430445, 0.290433; -1.028699, 2.291400
-0.828292, -0.442874, 2.403946; -0.824845, -0.433654, 2.276164; -0.828292, 0.413562; -0.442874, 0.290433; -1.028699, 2.403946
-0.828292, -0.461517, 2.460218; -0.826568, -0.447585, 2.368191; -0.828292, 0.413562; -0.461517, 0.290433; -1.028699, 2.460218
-0.840588, -0.492589, 2.485229; -0.833578, -0.470087, 2.426710; -0.840588, 0.413562; -0.492589, 0.290433; -1.028699, 2.485229
